ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpending,TotalChildren,Education_Encoded,Marital_Encoded,Edu_Basic,Edu_Graduate,Edu_Postgraduate,Mar_Married,Mar_Single
2174,1954,Graduation,Single,0.2696245948582397,1,1,08-03-2014,0.38383838383838387,11,1,6,2,1,6,2,0.09090909090909091,0.09090909090909091,0.15384615384615385,0.3571428571428571,0,0,0,0,0,0,3,11,0,0.7454545454545455,0.010541447053186392,0.6666666666666666,1,0,False,True,False,False,True
4141,1965,Graduation,Together,0.42865414267283425,0,0,21-08-2013,0.26262626262626265,426,49,127,111,21,42,1,0.7272727272727273,0.18181818181818182,0.7692307692307693,0.2857142857142857,0,0,0,0,0,0,3,11,0,0.5454545454545455,0.36942980354575944,0.0,1,1,False,True,False,True,False
6182,1984,Graduation,Together,0.1456559363101419,1,0,10-02-2014,0.26262626262626265,11,4,20,10,3,5,2,0.18181818181818182,0.0,0.3076923076923077,0.42857142857142855,0,0,0,0,0,0,3,11,0,0.19999999999999996,0.022999520843315763,0.3333333333333333,1,1,False,True,False,True,False
5324,1981,PhD,Married,0.3448251990308065,1,0,19-01-2014,0.9494949494949496,173,43,118,46,27,15,5,0.4545454545454546,0.2727272727272727,0.46153846153846156,0.3571428571428571,0,0,0,0,0,0,3,11,0,0.2545454545454545,0.1998083373263057,0.3333333333333333,2,1,False,False,True,True,False
7446,1967,Master,Together,0.3713836181125901,0,1,09-09-2013,0.16161616161616163,520,42,98,0,42,14,2,0.5454545454545454,0.36363636363636365,0.7692307692307693,0.42857142857142855,0,0,0,0,0,0,3,11,0,0.5090909090909091,0.34068040249161474,0.3333333333333333,2,1,False,False,True,True,False
965,1971,Graduation,Divorced,0.3280971710878253,0,1,13-11-2012,0.3434343434343435,235,65,164,50,49,27,4,0.6363636363636364,0.2727272727272727,0.5384615384615385,0.42857142857142855,0,0,0,0,0,0,3,11,0,0.4363636363636364,0.28030666027791085,0.3333333333333333,1,0,False,True,False,False,True
6177,1985,PhD,Married,0.18850184083828947,1,0,08-05-2013,0.32323232323232326,76,10,56,3,1,23,2,0.36363636363636365,0.0,0.3076923076923077,0.5714285714285714,0,0,0,0,0,0,3,11,0,0.18181818181818177,0.0785816962146622,0.3333333333333333,2,1,False,False,True,True,False
387,1976,Basic,Married,0.025161270021083107,0,0,13-11-2012,0.595959595959596,6,16,11,11,1,16,1,0.18181818181818182,0.0,0.23076923076923078,0.5714285714285714,0,0,0,0,0,0,3,11,0,0.34545454545454546,0.026832774317201727,0.0,0,1,True,False,False,True,False
8180,1952,Master,Divorced,0.3515025645866767,1,1,15-11-2013,0.5353535353535354,233,2,53,3,5,14,3,0.5454545454545454,0.09090909090909091,0.38461538461538464,0.42857142857142855,0,0,0,0,0,0,3,11,0,0.7818181818181819,0.14614278869190228,0.6666666666666666,2,0,False,False,True,False,True
2569,1987,Graduation,Married,0.08698196922495989,0,0,10-10-2012,0.38383838383838387,3,14,17,6,1,5,1,0.09090909090909091,0.0,0.23076923076923078,0.5714285714285714,0,0,0,0,0,0,3,11,0,0.1454545454545455,0.01964542405366555,0.0,1,1,False,True,False,True,False
